"transaction_id","account_id","transaction_date","posting_date","amount","currency","description","merchant_name","merchant_category_code","transaction_type","category","subcategory","is_recurring","location_city","location_state","location_country","label_source"
"TXN0000021","ACCT017","2023-02-06","2023-02-06","1000000","USD","California Lottery Payout","California Lottery","","credit","income","windfall","false","Sacramento","CA","US","manual"
"TXN0000022","ACCT018","2023-02-25","2023-02-27","-1500","EUR","Munich Rent Payment","GreenLeaf Apartments","6513","payment","housing","rent","true","Munich","BY","DE","manual"
"TXN0000023","ACCT019","2023-02-15","2023-02-15","0.01","JPY","Micro Deposit Test","","","deposit","income","micro_deposit","false","","","JP","manual"
"TXN0000024","ACCT020","2023-02-13","","-63.25","USD","CVS Pharmacy Purchase","CVS Pharmacy","5912","debit","shopping","pharmacy","false","Miami","FL","US","automated"
"TXN0000025","ACCT021","2023-02-20","2023-02-21","2112.5","GBP","Salary Payment BigTech UK","BigTech UK","","credit","income","salary","true","London","","GB","automated"
"TXN0000026","ACCT022","2023-02-02","2023-02-03","-23.75","USD","Shell Gas Station","Shell","5541","debit","transportation","fuel","false","San Jose","CA","US","automated"
"TXN0000027","ACCT023","2023-02-14","2023-02-15","-210","USD","Best Buy Electronics","Best Buy","5732","debit","shopping","electronics","false","San Diego","CA","US","automated"
"TXN0000028","ACCT024","2023-02-06","2023-02-06","-9.99","CAD","Spotify Canada Subscription","Spotify","5735","debit","entertainment","music_streaming","true","Toronto","ON","CA","automated"
"TXN0000029","ACCT025","2023-02-16","2023-02-17","-17.25","USD","Uber Eats Food Delivery","Uber Eats","5812","debit","dining","delivery","false","Philadelphia","PA","US","automated"
"TXN0000030","ACCT026","2023-02-08","","-0.99","INR","Test UPI Transfer","","","transfer","transfers","upi","false","","","IN","manual"
"TXN0000031","ACCT027","2023-02-12","2023-02-14","2200","EUR","Salary Payment EuroTech","EuroTech","","deposit","income","salary","true","Frankfurt","HE","DE","automated"
"TXN0000032","ACCT028","2023-02-27","2023-02-28","-42.5","USD","Trader Joe's Groceries","Trader Joe's","5411","debit","groceries","supermarket","false","Seattle","WA","US","automated"
"TXN0000033","ACCT029","2023-02-22","2023-02-25","99.99","USD","IRS Tax Refund","IRS","","refund","income","tax_refund","false","Washington","DC","US","manual"
"TXN0000034","ACCT030","2023-02-18","2023-02-19","-79.99","USD","Hulu Annual Subscription","Hulu","4899","debit","entertainment","streaming_service","true","Los Angeles","CA","US","automated"
"TXN0000035","ACCT031","2023-02-21","","-0.0001","JPY","Dust Test Transaction","","","other","uncategorized","","false","","","JP","manual"
"TXN0000036","ACCT032","2023-02-09","2023-02-10","-77.77","USD","Planet Fitness Membership","Planet Fitness","7997","payment","entertainment","gym","true","Phoenix","AZ","US","automated"
"TXN0000037","ACCT033","2023-02-13","2023-02-15","-55.05","USD","Target Home Supplies","Target","5311","debit","shopping","home_goods","false","Denver","CO","US","automated"
"TXN0000038","ACCT034","2023-02-11","2023-02-14","-500","USD","Tesla Motors Down Payment","Tesla Motors","5511","debit","transportation","vehicle_purchase","false","San Jose","CA","US","manual"
"TXN0000039","ACCT035","2023-02-03","2023-02-04","-44.44","USD","AT&T Internet Bill","AT&T","4814","payment","utilities","internet","true","Atlanta","GA","US","automated"
"TXN0000040","ACCT036","2023-02-22","2023-02-23","-75","USD","Walgreens Pharmacy","Walgreens","5912","debit","shopping","pharmacy","false","Chicago","IL","US","automated"
"TXN0000041","ACCT037","2023-02-17","2023-02-19","-158.25","USD","Progressive Insurance Payment","Progressive","6300","payment","insurance","auto","true","Houston","TX","US","automated"
"TXN0000042","ACCT038","2023-02-16","2023-02-18","25","USD","Amazon Gift Card Reload","Amazon US","5942","deposit","income","gift_card","false","New York","NY","US","manual"
"TXN0000043","ACCT039","2023-02-07","2023-02-08","-13.45","USD","In-N-Out Burger","In-N-Out","5812","debit","dining","fast_food","false","Los Angeles","CA","US","automated"
"TXN0000044","ACCT040","2023-02-05","","3000","AUD","Salary Payment SydneyTech","SydneyTech","","credit","income","salary","true","Sydney","NSW","AU","automated"
"TXN0000045","ACCT041","2023-02-10","2023-02-11","-17.99","GBP","Costa Coffee Purchase","Costa Coffee","5814","debit","dining","coffee_shop","false","London","","GB","automated"
"TXN0000046","ACCT042","2023-02-24","2023-02-25","-39.99","USD","Disney+ Subscription","Disney+","4899","debit","entertainment","streaming_service","true","Orlando","FL","US","automated"
"TXN0000047","ACCT043","2023-02-26","2023-02-27","-120","USD","PG&E Electricity Bill","PG&E","4900","payment","utilities","electricity","true","San Francisco","CA","US","automated"
"TXN0000048","ACCT044","2023-02-18","2023-02-19","-200","USD","Chase Card Annual Fee","Chase Bank","6011","fee","bank_fees","annual_fee","false","New York","NY","US","manual"
"TXN0000049","ACCT045","2023-02-20","2023-02-21","-27.99","USD","Amazon Prime Subscription","Amazon US","5942","debit","shopping","subscription","true","Seattle","WA","US","automated"
"TXN0000050","ACCT046","2023-02-28","","-0.01","CAD","Micro Deposit Test","","","deposit","income","micro_deposit","false","","","CA","manual"
"TXN0001001","ACCT102","2023-08-31","2023-09-01","2500","USD","Payroll deposit","Acme Corp","","deposit","income","salary","true","San Francisco","CA","US","automated"
"TXN0001002","ACCT105","2023-09-02","2023-09-02","-79.99","USD","Monthly streaming subscription","Netflix","4899","debit","entertainment","streaming","true","Los Angeles","CA","US","automated"
"TXN0001003","ACCT103","2023-09-03","2023-09-05","-112.5","USD","Whole Foods Market","Whole Foods","5411","debit","groceries","supermarket","false","Austin","TX","US","automated"
"TXN0001004","ACCT108","2023-09-01","2023-09-03","-1500","EUR","Rent payment for September","GreenLeaf Apartments","6513","payment","housing","rent","true","Berlin","BE","DE","manual"
"TXN0001005","ACCT110","2023-08-30","2023-08-30","-60","USD","Gas bill payment","Pacific Gas & Electric","4900","payment","utilities","gas","true","San Jose","CA","US","automated"
"TXN0001006","ACCT112","2023-09-04","2023-09-05","-32.75","GBP","Amazon UK order 3541","Amazon UK","5942","debit","shopping","books","false","London","","GB","automated"
"TXN0001007","ACCT114","2023-09-07","","-9.99","USD","Spotify subscription","Spotify","5815","debit","entertainment","music","true","Seattle","WA","US","automated"
"TXN0001008","ACCT106","2023-09-08","2023-09-10","-25.5","USD","Dinner at The Grill House","The Grill House","5812","debit","dining","restaurant","false","Chicago","IL","US","automated"
"TXN0001009","ACCT115","2023-09-09","2023-09-11","1500","EUR","Salary for September","Finanz AG","","credit","income","salary","true","Munich","BY","DE","automated"
"TXN0001010","ACCT102","2023-09-10","","-2.5","USD","ATM withdrawal fee","Chase Bank","6011","fee","bank_fees","atm_fee","false","New York","NY","US","automated"
"TXN0001011","ACCT118","2023-09-11","2023-09-12","-78.2","USD","Grocery store purchase","Trader Joe's","5411","debit","groceries","supermarket","false","Portland","OR","US","automated"
"TXN0001012","ACCT120","2023-09-12","2023-09-12","-45","USD","Monthly gym membership","Anytime Fitness","7997","payment","entertainment","fitness","true","Miami","FL","US","automated"
"TXN0001013","ACCT103","2023-09-13","","-15","USD","Coffee at Blue Bottle","Blue Bottle Coffee","5814","debit","dining","coffee_shop","false","San Francisco","CA","US","automated"
"TXN0001014","ACCT121","2023-09-14","2023-09-15","1200","GBP","Monthly salary","Redwood Media","","deposit","income","salary","true","Manchester","","GB","automated"
"TXN0001015","ACCT125","2023-09-15","2023-09-17","-120","USD","Auto insurance premium","StateFarm","6300","payment","insurance","auto","true","Dallas","TX","US","automated"
"TXN0001016","ACCT128","2023-09-15","2023-09-16","-980","EUR","IKEA furniture purchase","IKEA","5712","debit","shopping","home_furnishings","false","Hamburg","HH","DE","manual"
"TXN0001017","ACCT130","2023-09-16","2023-09-16","-3.5","USD","Bank service fee","Wells Fargo","6012","fee","bank_fees","service_fee","false","Phoenix","AZ","US","automated"
"TXN0001018","ACCT132","2023-09-17","2023-09-17","-88.65","USD","Target store shopping","Target","5311","debit","shopping","general_merchandise","false","Orlando","FL","US","automated"
"TXN0001019","ACCT134","2023-09-17","2023-09-19","-130","CAD","Hydro bill payment","Toronto Hydro","4900","payment","utilities","electricity","true","Toronto","ON","CA","automated"
"TXN0001020","ACCT135","2023-09-18","","-420","USD","Flight ticket to Denver","Delta Airlines","4511","debit","travel","airfare","false","Denver","CO","US","manual"
"TXN0001021","ACCT105","2023-09-18","2023-09-20","95","USD","Returned shoes refund","Nike","5661","refund","shopping","shoes","false","Portland","OR","US","manual"
"TXN0001022","ACCT137","2023-09-20","2023-09-21","-0.01","INR","Micro deposit for verification","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0001023","ACCT138","2023-09-21","2023-09-22","0.01","JPY","Plaid test credit","Plaid","","credit","income","micro_deposit","false","","","","manual"
"TXN0001024","ACCT140","2023-09-22","","-29.99","USD","Monthly subscription payment","HBO Max","4899","debit","entertainment","video","true","Atlanta","GA","US","automated"
"TXN0001025","ACCT141","2023-09-23","2023-09-24","105","USD","Refund - overpayment","Amazon US","5942","refund","shopping","electronics","false","Seattle","WA","US","manual"
"TXN0001026","ACCT142","2023-09-24","2023-09-25","3300","AUD","Salary - September","OzTech Pty","","credit","income","salary","true","Sydney","NSW","AU","automated"
"TXN0001027","ACCT143","2023-09-25","2023-09-26","-49.99","USD","Uber ride downtown","Uber","4121","debit","transportation","taxi","false","Boston","MA","US","automated"
"TXN0001028","ACCT144","2023-09-26","2023-09-27","-0.0001","USD","Plaid test debit","Plaid","","debit","uncategorized","","false","","","","manual"
"TXN0001029","ACCT145","2023-09-27","","-200","USD","Car payment","Tesla Motors","5511","payment","transportation","car_loan","true","Fremont","CA","US","automated"
"TXN0001030","ACCT146","2023-09-28","2023-09-29","-13.49","USD","Lunch at Chipotle","Chipotle","5812","debit","dining","fast_food","false","Denver","CO","US","automated"
"TXN0001031","ACCT147","2023-09-29","2023-09-30","125","USD","Tax refund","IRS","","refund","income","tax_refund","false","Washington","DC","US","manual"
"TXN0001032","ACCT148","2023-09-29","","-3500","CAD","Down payment for car","Honda Canada","5511","debit","transportation","vehicle_purchase","false","Montreal","QC","CA","manual"
"TXN0001033","ACCT149","2023-09-30","2023-10-02","5000","USD","Lottery winnings","California Lottery","","credit","income","windfall","false","Sacramento","CA","US","manual"
"TXN0001034","ACCT150","2023-10-01","2023-10-01","-75","USD","Monthly phone bill","Verizon Wireless","4812","payment","utilities","phone","true","New York","NY","US","automated"
"TXN0001035","ACCT151","2023-10-02","2023-10-04","-34.2","USD","Bookstore purchase","Barnes & Noble","5942","debit","shopping","books","false","Los Angeles","CA","US","automated"
"TXN0001036","ACCT152","2023-10-03","","-99.99","USD","iTunes subscription","Apple","5735","debit","entertainment","music","true","San Jose","CA","US","automated"
"TXN0001037","ACCT153","2023-10-03","2023-10-04","-17.25","USD","Coffee at Starbucks","Starbucks","5814","debit","dining","coffee_shop","false","Seattle","WA","US","automated"
"TXN0001038","ACCT154","2023-10-04","","0.01","USD","Micro deposit verification","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0001039","ACCT155","2023-10-05","2023-10-06","-220","USD","Online clothing order","Zara","5651","debit","shopping","clothing","false","New York","NY","US","automated"
"TXN0001040","ACCT156","2023-10-06","2023-10-07","0.01","JPY","Micro deposit test","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0001041","ACCT157","2023-10-07","","-599.99","GBP","Laptop purchase","Currys PC World","5732","debit","shopping","electronics","false","London","","GB","manual"
"TXN0001042","ACCT158","2023-10-08","2023-10-09","2700","INR","Salary credited","HCL Technologies","","credit","income","salary","true","Mumbai","MH","IN","automated"
"TXN0001043","ACCT159","2023-10-09","2023-10-09","-65","USD","Electric bill payment","ConEdison","4900","payment","utilities","electricity","true","New York","NY","US","automated"
"TXN0001044","ACCT160","2023-10-09","","-0.01","USD","Micro debit verification","","","debit","uncategorized","","false","","","","manual"
"TXN0001045","ACCT161","2023-10-10","2023-10-11","0.0099","AUD","Micro deposit for test","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0001046","ACCT162","2023-10-11","2023-10-12","-3200","USD","Home rent payment","Sunset Realty","6513","payment","housing","rent","true","Los Angeles","CA","US","manual"
"TXN0001047","ACCT163","2023-10-12","2023-10-12","-39.99","USD","Disney+ monthly","Disney+","4899","debit","entertainment","streaming","true","Orlando","FL","US","automated"
"TXN0001048","ACCT164","2023-10-13","","-8.75","USD","Coffee at Peet's","Peet's Coffee","5814","debit","dining","coffee_shop","false","San Francisco","CA","US","automated"
"TXN0001049","ACCT165","2023-10-13","2023-10-15","-950","EUR","Rent payment","Berlin Apartments","6513","payment","housing","rent","true","Berlin","BE","DE","manual"
"TXN0001050","ACCT166","2023-10-14","2023-10-15","-72.85","USD","Weekly grocery shopping","Safeway","5411","debit","groceries","supermarket","false","San Jose","CA","US","automated"
"TXN1000001","ACCT202","2022-08-05","2022-08-07","-120.35","USD","Whole Foods grocery purchase","Whole Foods","5411","debit","groceries","supermarket","false","Seattle","WA","US","automated"
"TXN1000002","ACCT203","2022-08-01","2022-08-01","2500","USD","August Salary","Microsoft Corp","6021","credit","income","salary","true","Redmond","WA","US","automated"
"TXN1000003","ACCT204","2022-08-02","2022-08-02","-59.99","USD","Netflix monthly subscription","Netflix","4899","debit","entertainment","streaming_service","true","Los Angeles","CA","US","automated"
"TXN1000004","ACCT205","2022-08-08","2022-08-09","-89.5","USD","Seattle City Light bill payment","Seattle City Light","4900","payment","utilities","electricity","true","Seattle","WA","US","automated"
"TXN1000005","ACCT202","2022-08-09","","-15.25","USD","Starbucks coffee","Starbucks","5814","debit","dining","coffee_shop","false","Seattle","WA","US","automated"
"TXN1000006","ACCT206","2022-08-10","2022-08-11","-1200","EUR","Rent for August","GreenLeaf Apartments","6513","payment","housing","rent","true","Berlin","BE","DE","manual"
"TXN1000007","ACCT207","2022-08-13","2022-08-13","0.01","INR","Micro deposit verification","","","deposit","income","micro_deposit","false","","","","manual"
"TXN1000008","ACCT202","2022-08-15","","-25","USD","Metro transit card reload","Sound Transit","4111","debit","transportation","public_transit","false","Seattle","WA","US","automated"
"TXN1000009","ACCT208","2022-08-17","2022-08-17","-7.5","GBP","London Underground ride","TfL","4111","debit","transportation","subway","false","London","","GB","automated"
"TXN1000010","ACCT209","2022-08-18","2022-08-18","5000","USD","IRS tax refund","Internal Revenue Service","","refund","income","tax_refund","false","Austin","TX","US","manual"
"TXN1000011","ACCT210","2022-08-20","","-35.75","USD","Amazon book order","Amazon US","5942","debit","shopping","books","false","New York","NY","US","automated"
"TXN1000012","ACCT211","2022-08-21","2022-08-22","-52","USD","Spotify monthly subscription","Spotify","5735","debit","entertainment","music_streaming","true","San Francisco","CA","US","automated"
"TXN1000013","ACCT212","2022-08-21","2022-08-23","-220","CAD","Utility bill payment","Toronto Hydro","4900","payment","utilities","electricity","true","Toronto","ON","CA","automated"
"TXN1000014","ACCT213","2022-08-22","2022-08-23","-78.95","USD","Target household shopping","Target","5311","debit","shopping","household_goods","false","Chicago","IL","US","automated"
"TXN1000015","ACCT214","2022-08-25","","-18.99","USD","Uber ride downtown","Uber","4121","debit","transportation","ride_share","false","Austin","TX","US","automated"
"TXN1000016","ACCT215","2022-08-26","2022-08-27","-90.6","EUR","Munich utilities","SWM Services","4900","payment","utilities","electricity","true","Munich","BY","DE","automated"
"TXN1000017","ACCT216","2022-08-27","2022-08-27","0.01","JPY","Plaid test deposit","","","deposit","income","micro_deposit","false","","","","manual"
"TXN1000018","ACCT217","2022-08-28","2022-08-30","-50","USD","Gym membership monthly fee","Anytime Fitness","7997","debit","entertainment","fitness","true","Miami","FL","US","automated"
"TXN1000019","ACCT218","2022-08-29","","-110","GBP","London rent payment","Thames Residences","6513","payment","housing","rent","true","London","","GB","manual"
"TXN1000020","ACCT212","2022-08-29","2022-08-29","1","CAD","Micro deposit verification","","","deposit","income","micro_deposit","false","","","","manual"
"TXN1000021","ACCT219","2022-08-29","2022-08-30","-28.7","AUD","Sydney Opal card reload","NSW Transport","4111","debit","transportation","public_transit","false","Sydney","NSW","AU","automated"
"TXN1000022","ACCT220","2022-09-01","2022-09-01","-120","USD","Progressive auto insurance monthly premium","Progressive Insurance","6300","payment","insurance","auto","true","San Diego","CA","US","automated"
"TXN1000023","ACCT221","2022-09-02","","-1.99","USD","ATM withdrawal fee","Chase Bank","6011","fee","bank_fees","atm_fee","false","Chicago","IL","US","manual"
"TXN1000024","ACCT222","2022-09-03","2022-09-04","-220","EUR","Berlin gym membership","McFIT","7997","debit","entertainment","fitness","true","Berlin","BE","DE","automated"
"TXN1000025","ACCT223","2022-09-03","2022-09-05","-14.25","USD","Lyft ride airport","Lyft","4121","debit","transportation","ride_share","false","San Francisco","CA","US","automated"
"TXN1000026","ACCT224","2022-09-05","","-99","USD","Amazon electronics order","Amazon US","5732","debit","shopping","electronics","false","Austin","TX","US","automated"
"TXN1000027","ACCT225","2022-09-06","2022-09-08","200000","USD","California Lottery winnings","California Lottery","","credit","income","windfall","false","Sacramento","CA","US","manual"
"TXN1000028","ACCT205","2022-09-06","2022-09-06","-13.5","USD","Bus ticket","King County Metro","4111","debit","transportation","public_transit","false","Seattle","WA","US","automated"
"TXN1000029","ACCT226","2022-09-08","","-0.0001","JPY","Account dust adjustment","","","other","uncategorized","","false","","","","manual"
"TXN1000030","ACCT227","2022-09-09","2022-09-09","-350","USD","Tesla Motors down payment","Tesla Motors","5511","debit","transportation","vehicle_purchase","false","Palo Alto","CA","US","manual"
"TXN1000031","ACCT228","2022-09-12","2022-09-15","2500","EUR","Salary September","SAP AG","6021","credit","income","salary","true","Walldorf","BW","DE","automated"
"TXN1000032","ACCT229","2022-09-13","2022-09-13","-75.5","GBP","Amazon UK order","Amazon UK","5942","debit","shopping","books","false","Manchester","","GB","automated"
"TXN1000033","ACCT230","2022-09-14","2022-09-15","-1100","AUD","Sydney rent transfer","Sydney Rentals","6513","payment","housing","rent","true","Sydney","NSW","AU","manual"
"TXN1000034","ACCT202","2022-09-15","","-12","USD","McDonald's lunch","McDonald's","5814","debit","dining","fast_food","false","Seattle","WA","US","automated"
"TXN1000035","ACCT231","2022-09-15","2022-09-16","-37.45","USD","Barnes & Noble book purchase","Barnes & Noble","5942","debit","shopping","books","false","Los Angeles","CA","US","automated"
"TXN1000036","ACCT232","2022-09-16","2022-09-16","-0.99","INR","Bank test transaction","","","other","uncategorized","","false","","","","manual"
"TXN1000037","ACCT233","2022-09-17","2022-09-17","-85","USD","StateFarm car insurance","StateFarm","6300","payment","insurance","auto","true","Phoenix","AZ","US","automated"
"TXN1000038","ACCT234","2022-09-18","","75","USD","Amazon refund for return","Amazon US","5942","refund","shopping","refund","false","Dallas","TX","US","manual"
"TXN1000039","ACCT235","2022-09-20","2022-09-21","-45","USD","Spotify family subscription","Spotify","5735","debit","entertainment","music_streaming","true","Los Angeles","CA","US","automated"
"TXN1000040","ACCT236","2022-09-21","2022-09-22","-500","USD","Chase credit card payment","Chase Bank","6011","transfer","transfers","credit_card","false","Chicago","IL","US","manual"
"TXN1000041","ACCT237","2022-09-22","","-25.75","USD","Trader Joe's grocery","Trader Joe's","5411","debit","groceries","supermarket","false","Portland","OR","US","automated"
"TXN1000042","ACCT238","2022-09-23","2022-09-23","-19.8","USD","Seattle Art Museum visit","Seattle Art Museum","7991","debit","entertainment","museum","false","Seattle","WA","US","automated"
"TXN1000043","ACCT239","2022-09-24","2022-09-25","-16.5","USD","Chipotle Mexican Grill","Chipotle","5812","debit","dining","restaurant","false","Denver","CO","US","automated"
"TXN1000044","ACCT240","2022-09-25","","-25","USD","CVS Pharmacy","CVS","5912","debit","shopping","pharmacy","false","Boston","MA","US","automated"
"TXN1000045","ACCT241","2022-09-26","2022-09-28","-200","USD","QFC grocery","QFC","5411","debit","groceries","supermarket","false","Seattle","WA","US","automated"
"TXN1000046","ACCT242","2022-09-27","2022-09-27","-3500","USD","Used car purchase","AutoNation","5511","debit","transportation","vehicle_purchase","false","Dallas","TX","US","manual"
"TXN1000047","ACCT243","2022-09-28","","1","AUD","Bank micro deposit","","","deposit","income","micro_deposit","false","","","","manual"
"TXN1000048","ACCT244","2022-09-29","2022-09-30","-65","USD","Verizon monthly mobile bill","Verizon Wireless","4812","payment","utilities","mobile","true","New York","NY","US","automated"
"TXN1000049","ACCT245","2022-09-30","","-3","USD","Bank fee for statement","Bank of America","6011","fee","bank_fees","statement_fee","false","Charlotte","NC","US","manual"
"TXN1000050","ACCT246","2022-09-30","2022-09-30","-85","USD","Costco groceries","Costco","5411","debit","groceries","supermarket","false","San Jose","CA","US","automated"
"TXN0007001","ACCT035","2024-05-03","2024-05-03","-74.5","USD","Online purchase at Amazon US","Amazon US","5942","debit","shopping","books","false","Austin","TX","US","automated"
"TXN0007002","ACCT017","2024-05-01","2024-05-02","2500","USD","Direct deposit payroll","Initech Corp","6011","credit","income","salary","true","Dallas","TX","US","automated"
"TXN0007003","ACCT058","2024-04-29","2024-05-01","-129.89","USD","Monthly electric bill payment","Austin Energy","4900","payment","utilities","electricity","true","Austin","TX","US","automated"
"TXN0007004","ACCT035","2024-05-02","2024-05-04","51.25","USD","Refund for returned item","Amazon US","5942","refund","shopping","refund","false","Austin","TX","US","manual"
"TXN0007005","ACCT041","2024-05-05","2024-05-06","-13.2","USD","Coffee shop purchase","Starbucks","5814","debit","dining","coffee_shop","false","San Francisco","CA","US","automated"
"TXN0007006","ACCT041","2024-05-07","2024-05-08","-67.49","USD","Whole Foods grocery store","Whole Foods","5411","debit","groceries","supermarket","false","San Francisco","CA","US","automated"
"TXN0007007","ACCT017","2024-05-01","2024-05-01","-35","USD","Spotify monthly subscription","Spotify","4899","payment","entertainment","music_streaming","true","San Jose","CA","US","automated"
"TXN0007008","ACCT058","2024-05-03","","-1800","USD","Monthly rent payment","GreenLeaf Apartments","6513","payment","housing","rent","true","Austin","TX","US","manual"
"TXN0007009","ACCT049","2024-04-30","2024-05-01","-62.15","USD","Uber ride to airport","Uber","4121","debit","transportation","ride_hailing","false","Seattle","WA","US","automated"
"TXN0007010","ACCT041","2024-05-04","2024-05-05","-42","USD","Dinner at Italian Bistro","Italian Bistro","5812","debit","dining","restaurant","false","San Francisco","CA","US","automated"
"TXN0007011","ACCT027","2024-05-01","","-9.99","GBP","Netflix monthly subscription","Netflix","4899","debit","entertainment","video_streaming","true","London","","GB","automated"
"TXN0007012","ACCT027","2024-05-04","2024-05-05","-109.5","GBP","Shopping at Argos","Argos","5732","debit","shopping","electronics","false","London","","GB","automated"
"TXN0007013","ACCT062","2024-05-02","2024-05-03","2000","EUR","Salary credited by employer","Siemens AG","6011","credit","income","salary","true","Munich","BY","DE","automated"
"TXN0007014","ACCT062","2024-05-05","2024-05-06","-450","EUR","Rent paid to landlord","Hausverwaltung Müller","6513","payment","housing","rent","true","Munich","BY","DE","manual"
"TXN0007015","ACCT049","2024-05-06","","-2.5","USD","ATM withdrawal fee","Chase Bank","6011","fee","bank_fees","atm_fee","false","Seattle","WA","US","automated"
"TXN0007016","ACCT019","2024-05-03","2024-05-04","-82.16","USD","Auto insurance premium","StateFarm","6300","payment","insurance","auto","true","Chicago","IL","US","automated"
"TXN0007017","ACCT053","2024-05-04","2024-05-05","-15.37","USD","Movie theater ticket","AMC Theatres","7832","debit","entertainment","cinema","false","Denver","CO","US","automated"
"TXN0007018","ACCT019","2024-05-05","2024-05-07","-188.22","USD","Flight to New York","Delta Airlines","4511","debit","travel","flight","false","Chicago","IL","US","manual"
"TXN0007019","ACCT058","2024-05-06","","0.01","USD","Micro deposit for account verification","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0007020","ACCT035","2024-05-08","2024-05-10","-0.99","INR","Test transaction","Plaid","","other","uncategorized","","false","Mumbai","MH","IN","manual"
"TXN0007021","ACCT027","2024-05-01","2024-05-02","4500","USD","IRS tax refund","IRS","","refund","income","tax_refund","false","Washington","DC","US","manual"
"TXN0007022","ACCT017","2024-05-07","2024-05-07","-1200","USD","Car payment debit","Tesla Motors","5599","debit","transportation","vehicle_payment","false","Palo Alto","CA","US","manual"
"TXN0007023","ACCT053","2024-05-01","","-35","AUD","Uber ride Sydney","Uber","4121","debit","transportation","ride_hailing","false","Sydney","NSW","AU","automated"
"TXN0007024","ACCT062","2024-05-10","2024-05-12","0.0091","JPY","Micro deposit test","","","deposit","income","micro_deposit","false","","","","manual"
"TXN0007025","ACCT019","2024-05-09","2024-05-10","3000","CAD","Monthly salary payment","Maple Leaf Inc.","6011","credit","income","salary","true","Toronto","ON","CA","automated"
